Type	Table	Name	Value	Description
	0003		I01	RQI/RPI - Request for insurance information
	0003		I02	RQI/RPL - Request/receipt of patient selection display list
	0003		I03	RQI/RPR - Request/receipt of patient selection list
	0003		I04	RQD/RPI - Request for patient demographic data
	0003		I05	RQC/RCI - Request for patient clinical information
	0003		I06	RQC/RCL - Request/receipt of clinical data listing
	0003		I07	PIN/ACK - Unsolicited insurance information
	0003		I08	RQA/RPA - Request for treatment authorization information
	0003		I09	RQA/RPA - Request for modification to an authorization
	0003		I10	RQA/RPA - Request for resubmission of an authorization
	0003		I11	RQA/RPA - Request for cancellation of an authorization
	0003		I12	REF/RRI - Patient referral
	0003		I13	REF/RRI - Modify patient referral
	0003		I14	REF/RRI - Cancel patient referral
	0003		I15	REF/RRI - Request patient referral status
	0003		J01	QCN/ACK _ Cancel query/acknowledge message
	0003		J02	QSX/ACK _ Cancel subscription/acknowledge message
	0003		K11	RSP - Segment pattern response in response to QBP^Q11
	0003		K13	RTB - Tabular response in response to QBP^Q13
	0003		K15	RDY - Display response in response to QBP^Q15
	0003		K21	RSP _ Get person demographics response
	0003		K22	RSP _ Find candidates response
	0003		K23	RSP _ Get corresponding identifiers response
	0003		K24	RSP _ Allocate identifiers response
	0003		K25	RSP - Personnel Information by Segment Response
	0003		M01	MFN/MFK - Master file not otherwise specified (for backward compatibility only)
	0003		M02	MFN/MFK - Master file _ staff practitioner
	0003		M03	MFN/MFK - Master file - test/observation (for backward compatibility only)
	0003		M04	MFN/MFK - Master files charge description
	0003		M05	MFN/MFK - Patient location master file
	0003		M06	MFN/MFK - Clinical study with phases and schedules master file
	0003		M07	MFN/MFK - Clinical study without phases but with schedules master file
	0003		M08	MFN/MFK - Test/observation (numeric) master file
	0003		M09	MFN/MFK - Test/observation (categorical) master file
	0003		M10	MFN/MFK - Test /observation batteries master file
	0003		M11	MFN/MFK - Test/calculated observations master file
	0003		M12	MFN/MFK _ Master file notification message
	0003		M13	MFN/MFK - Master file notification - general
	0003		M14	MFN/MFK - Master file notification _ site defined
	0003		M15	MFN/MFK _ Inventory item master file notification
	0003		N01	NMQ/NMR - Application management query message
	0003		N02	NMD/ACK - Application management data message (unsolicited)
	0003		O01	ORM - Order message (also RDE, RDS, RGV, RAS)
	0003		O02	ORR - Order response (also RRE, RRD, RRG, RRA)
	0003		O03	OMD _ Diet order
	0003		O04	ORD _ Diet order acknowledgment
	0003		O05	OMS _ Stock requisition order
	0003		O06	ORS _ Stock requisition acknowledgment
	0003		O07	OMN _ Non-stock requisition order
	0003		O08	ORN _ Non-stock requisition acknowledgment
	0003		O09	OMP _ Pharmacy/treatment order
	0003		O10	ORP _ Pharmacy/treatment order acknowledgment
	0003		O11	RDE _ Pharmacy/treatment encoded order
	0003		O12	RRE _ Pharmacy/treatment encoded order acknowledgment
	0003		O13	RDS _ Pharmacy/treatment dispense
	0003		O14	RRD _ Pharmacy/treatment dispense acknowledgment
	0003		O15	RGV _ Pharmacy/treatment give
	0003		O16	RRG _ Pharmacy/treatment give acknowledgment
	0003		O17	RAS _ Pharmacy/treatment administration
	0003		O18	RRA _ Pharmacy/treatment administration acknowledgment
	0003		O19	OMG _ General clinical order
	0003		O20	ORG/ORL _ General clinical order response
	0003		O21	OML - Laboratory order
	0003		O22	ORL - General laboratory order response message to any OML
	0003		O23	OMI _ Imaging order
	0003		O24	ORI _ Imaging order response message to any OMI
	0003		O25	RDE - Pharmacy/treatment refill authorization request
	0003		O26	RRE - Pharmacy/Treatment Refill Authorization Acknowledgement
	0003		O27	OMB _ Blood product order
	0003		O28	ORB _ Blood product order acknowledgment
	0003		O29	BPS _ Blood product dispense status
	0003		O30	BRP _ Blood product dispense status acknowledgment
	0003		O31	BTS _ Blood product transfusion/disposition
	0003		O32	BRT _ Blood product transfusion/disposition acknowledgment
	0003		O33	OML _ Laboratory order for multiple orders related to a single specimen
	0003		O34	ORL _ Laboratory order response message to a multiple order related to single specimen OML
	0003		O35	OML _ Laboratory order for multiple orders related to a single container of a specimen
	0003		O36	ORL - Laboratory order response message to a single container of a specimen OML
	0003		P01	BAR/ACK - Add patient accounts
	0003		P02	BAR/ACK - Purge patient accounts
	0003		P03	DFT/ACK - Post detail financial transaction
	0003		P04	QRY/DSP _ Generate bill and A/R statements
	0003		P05	BAR/ACK _ Update account
	0003		P06	BAR/ACK - End account
	0003		P07	PEX - Unsolicited initial individual product experience report
	0003		P08	PEX - Unsolicited update individual product experience report
	0003		P09	SUR - Summary product experience report
	0003		P10	BAR/ACK _Transmit Ambulatory Payment  Classification(APC)
	0003		P11	DFT/ACK - Post Detail Financial Transactions - New
	0003		P12	BAR/ACK - Update Diagnosis/Procedure
	0003		PC1	PPR - PC/ problem add
	0003		PC2	PPR - PC/ problem update
	0003		PC3	PPR - PC/ problem delete
	0003		PC4	QRY - PC/ problem query
	0003		PC5	PRR - PC/ problem response
	0003		PC6	PGL - PC/ goal add
	0003		PC7	PGL - PC/ goal update
	0003		PC8	PGL - PC/ goal delete
	0003		PC9	QRY - PC/ goal query
	0003		PCA	PPV - PC/ goal response
	0003		PCB	PPP - PC/ pathway (problem-oriented) add
	0003		PCC	PPP - PC/ pathway (problem-oriented) update
	0003		PCD	PPP - PC/ pathway (problem-oriented) delete
	0003		PCE	QRY - PC/ pathway (problem-oriented) query
	0003		PCF	PTR - PC/ pathway (problem-oriented) query response
	0003		PCG	PPG - PC/ pathway (goal-oriented) add
	0003		PCH	PPG - PC/ pathway (goal-oriented) update
	0003		PCJ	PPG - PC/ pathway (goal-oriented) delete
	0003		PCK	QRY - PC/ pathway (goal-oriented) query
	0003		PCL	PPT - PC/ pathway (goal-oriented) query response
	0003		Q01	QRY/DSR - Query sent for immediate response
	0003		Q02	QRY/QCK - Query sent for deferred response
	0003		Q03	DSR/ACK - Deferred response to a query
	0003		Q04	EQQ _ Embedded query language query
	0003		Q05	UDM/ACK - Unsolicited display update message
	0003		Q06	OSQ/OSR - Query for order status
	0003		Q07	VQQ _ Virtual table query
	0003		Q08	SPQ _ Stored procedure request
	0003		Q09	RQQ _ event replay query
	0003		Q11	QBP - Query by parameter requesting an RSP segment pattern response
	0003		Q13	QBP - Query by parameter requesting an  RTB - tabular response
	0003		Q15	QBP - Query by parameter requesting an RDY display response
	0003		Q16	QSB _ Create subscription
	0003		Q17	QVR _ Query for previous events
	0003		Q21	QBP _ Get person demographics
	0003		Q22	QBP _ Find candidates
	0003		Q23	QBP _ Get corresponding identifiers
	0003		Q24	QBP _ Allocate identifiers
	0003		Q25	QBP - Personnel Information by Segment Query
	0003		Q26	ROR - Pharmacy/treatment order response
	0003		Q27	RAR - Pharmacy/treatment administration information
	0003		Q28	RDR - Pharmacy/treatment dispense information
	0003		Q29	RER - Pharmacy/treatment encoded order information
	0003		Q30	RGR - Pharmacy/treatment dose information
	0003		R01	ORU/ACK - Unsolicited transmission of an observation message
	0003		R02	QRY - Query for results of observation
	0003		R03	QRY/DSR Display-oriented results, query/unsol. update (for backward compatibility only) (Replaced by Q05)
	0003		R04	ORF - Response to query; transmission of requested observation
	0003		R07	EDR - Enhanced Display Response
	0003		R08	TBR - Tabular Data Response
	0003		R09	ERP - Event Replay Response
	0003		R21	OUL _ Unsolicited laboratory observation
	0003		R22	OUL _ Unsolicited Specimen Oriented Observation Message
	0003		R23	OUL _ Unsolicited Specimen Container Oriented Observation Message
	0003		R24	OUL _ Unsolicited Order Oriented Observation Message
	0003		R30	ORU _ Unsolicited Point-Of-Care Observation Message Without Existing Order _ Place An Order
	0003		R31	ORU _ Unsolicited New Point-Of-Care Observation Message _ Search For An Order
	0003		R32	ORU _ Unsolicited Pre-Ordered Point-Of-Care Observation
	0003		ROR	ROR - Pharmacy prescription order query response
	0003		S01	SRM/SRR - Request new appointment booking
	0003		S02	SRM/SRR - Request appointment rescheduling
	0003		S03	SRM/SRR - Request appointment modification
	0003		S04	SRM/SRR - Request appointment cancellation
	0003		S05	SRM/SRR - Request appointment discontinuation
	0003		S06	SRM/SRR - Request appointment deletion
	0003		S07	SRM/SRR - Request addition of service/resource on appointment
	0003		S08	SRM/SRR - Request modification of service/resource on appointment
	0003		S09	SRM/SRR - Request cancellation of service/resource on appointment
	0003		S10	SRM/SRR - Request discontinuation of service/resource on appointment
	0003		S11	SRM/SRR - Request deletion of service/resource on appointment
	0003		S12	SIU/ACK - Notification of new appointment booking
	0003		S13	SIU/ACK - Notification of appointment rescheduling
	0003		S14	SIU/ACK - Notification of appointment modification
	0003		S15	SIU/ACK - Notification of appointment cancellation
	0003		S16	SIU/ACK - Notification of appointment discontinuation
	0003		S17	SIU/ACK - Notification of appointment deletion
	0003		S18	SIU/ACK - Notification of addition of service/resource on appointment
	0003		S19	SIU/ACK - Notification of modification of service/resource on appointment
	0003		S20	SIU/ACK - Notification of cancellation of service/resource on appointment
	0003		S21	SIU/ACK - Notification of discontinuation of service/resource on appointment
	0003		S22	SIU/ACK - Notification of deletion of service/resource on appointment
	0003		S23	SIU/ACK - Notification of blocked schedule time slot(s)
	0003		S24	SIU/ACK - Notification of opened (_unblocked_) schedule time slot(s)
	0003		S25	SQM/SQR - Schedule query message and response
	0003		S26	SIU/ACK Notification that patient did not show up for schedule appointment
	0003		T01	MDM/ACK - Original document notification
	0003		T02	MDM/ACK - Original document notification and content
	0003		T03	MDM/ACK - Document status change notification
	0003		T04	MDM/ACK - Document status change notification and content
	0003		T05	MDM/ACK - Document addendum notification
	0003		T06	MDM/ACK - Document addendum notification and content
	0003		T07	MDM/ACK - Document edit notification
	0003		T08	MDM/ACK - Document edit notification and content
	0003		T09	MDM/ACK - Document replacement notification
	0003		T10	MDM/ACK - Document replacement notification and content
	0003		T11	MDM/ACK - Document cancel notification
	0003		T12	QRY/DOC - Document query
	0003		U01	ESU/ACK _ Automated equipment status update
	0003		U02	ESR/ACK _ Automated equipment status request
	0003		U03	SSU/ACK - Specimen status update
	0003		U04	SSR/ACK - specimen status request
	0003		U05	INU/ACK  - Automated equipment inventory update
	0003		U06	INR/ACK _ Automated equipment inventory request
	0003		U07	EAC/ACK _ Automated equipment command
	0003		U08	EAR/ACK _ Automated equipment response
	0003		U09	EAN/ACK _ Automated equipment notification
	0003		U10	TCU/ACK _ Automated equipment test code settings update
	0003		U11	TCR/ACK _ Automated equipment test code settings request
	0003		U12	LSU/ACK _ Automated equipment log/service update
	0003		U13	LSR/ACK _ Automated equipment log/service request
	0003		V01	VXQ - Query for vaccination record
	0003		V02	VXX - Response to vaccination query returning multiple PID matches
	0003		V03	VXR - Vaccination record response
	0003		V04	VXU - Unsolicited vaccination record update
	0003		Varies	MFQ/MFR - Master files query (use event same as asking for e.g., M05 - location)
	0003		W01	ORU - Waveform result, unsolicited transmission of requested information
	0003		W02	QRF - Waveform result, response to query
User		Patient Class		
	0004		B	Obstetrics
	0004		C	Commercial Account
	0004		E	Emergency
	0004		I	Inpatient
	0004		N	Not Applicable
	0004		O	Outpatient
	0004		P	Preadmit
	0004		R	Recurring patient
	0004		U	Unknown
User		Race		
	0005		...	see chapter 3
	0005		1002-5	American Indian or Alaska Native
	0005		2028-9	Asian
	0005		2054-5	Black or African American
	0005		2076-8	Native Hawaiian or Other Pacific Islander
	0005		2106-3	White
	0005		2131-1	Other Race
User		Religion		
	0006		ABC	Christian: American Baptist Church
	0006		AGN	Agnostic
	0006		AME	Christian: African Methodist Episcopal Zion
	0006		AMT	Christian: African Methodist Episcopal
	0006		ANG	Christian: Anglican
	0006		AOG	Christian: Assembly of God
	0006		ATH	Atheist
	0006		BAH	Baha'i
	0006		BAP	Christian: Baptist
	0006		BMA	Buddhist: Mahayana
	0006		BOT	Buddhist: Other
	0006		BTA	Buddhist: Tantrayana
	0006		BTH	Buddhist: Theravada
	0006		BUD	Buddhist
	0006		CAT	Christian: Roman Catholic
	0006		CFR	Chinese Folk Religionist
	0006		CHR	Christian
	0006		CHS	Christian: Christian Science
	0006		CMA	Christian: Christian Missionary Alliance
	0006		CNF	Confucian
	0006		COC	Christian: Church of Christ
	0006		COG	Christian: Church of God
	0006		COI	Christian: Church of God in Christ
	0006		COL	Christian: Congregational
	0006		COM	Christian: Community
	0006		COP	Christian: Other Pentecostal
	0006		COT	Christian: Other
	0006		CRR	Christian: Christian Reformed
	0006		EOT	Christian: Eastern Orthodox
	0006		EPI	Christian: Episcopalian
	0006		ERL	Ethnic Religionist
	0006		EVC	Christian: Evangelical Church
	0006		FRQ	Christian: Friends
	0006		FWB	Christian: Free Will Baptist
	0006		GRE	Christian: Greek Orthodox
	0006		HIN	Hindu
	0006		HOT	Hindu: Other
	0006		HSH	Hindu: Shaivites
	0006		HVA	Hindu: Vaishnavites
	0006		JAI	Jain
	0006		JCO	Jewish: Conservative
	0006		JEW	Jewish
	0006		JOR	Jewish: Orthodox
	0006		JOT	Jewish: Other
	0006		JRC	Jewish: Reconstructionist
	0006		JRF	Jewish: Reform
	0006		JRN	Jewish: Renewal
	0006		JWN	Christian: Jehovah's Witness
	0006		LMS	Christian: Lutheran Missouri Synod
	0006		LUT	Christian: Lutheran
	0006		MEN	Christian: Mennonite
	0006		MET	Christian: Methodist
	0006		MOM	Christian: Latter-day Saints
	0006		MOS	Muslim
	0006		MOT	Muslim: Other
	0006		MSH	Muslim: Shiite
	0006		MSU	Muslim: Sunni
	0006		NAM	Native American
	0006		NAZ	Christian: Church of the Nazarene
	0006		NOE	Nonreligious
	0006		NRL	New Religionist
	0006		ORT	Christian: Orthodox
	0006		OTH	Other
	0006		PEN	Christian: Pentecostal
	0006		PRC	Christian: Other Protestant
	0006		PRE	Christian: Presbyterian
	0006		PRO	Christian: Protestant
	0006		QUA	Christian: Friends
	0006		REC	Christian: Reformed Church
	0006		REO	Christian: Reorganized Church of Jesus Christ-LDS
	0006		SAA	Christian: Salvation Army
	0006		SEV	Christian: Seventh Day Adventist
	0006		SHN	Shintoist
	0006		SIK	Sikh
	0006		SOU	Christian: Southern Baptist
	0006		SPI	Spiritist
	0006		UCC	Christian: United Church of Christ
	0006		UMD	Christian: United Methodist
	0006		UNI	Christian: Unitarian
	0006		UNU	Christian: Unitarian Universalist
	0006		VAR	Unknown
	0006		WES	Christian: Wesleyan
	0006		WMC	Christian: Wesleyan Methodist
User		Admission Type		
	0007		A	Accident
	0007		C	Elective
	0007		E	Emergency
	0007		L	Labor and Delivery
	0007		N	Newborn (Birth in healthcare facility)
	0007		R	Routine
	0007		U	Urgent
HL7		Acknowledgment code		
	0008		AA	Original mode: Application Accept - Enhanced mode: Application acknowledgment: Accept
	0008		AE	Original mode: Application Error - Enhanced mode: Application acknowledgment: Error
	0008		AR	Original mode: Application Reject - Enhanced mode: Application acknowledgment: Reject
	0008		CA	Enhanced mode: Accept acknowledgment: Commit Accept
	0008		CE	Enhanced mode: Accept acknowledgment: Commit Error
	0008		CR	Enhanced mode: Accept acknowledgment: Commit Reject
User		Ambulatory Status		
	0009		A0	No functional limitations
	0009		A1	Ambulates with assistive device
	0009		A2	Wheelchair/stretcher bound
	0009		A3	Comatose; non-responsive
	0009		A4	Disoriented
	0009		A5	Vision impaired
	0009		A6	Hearing impaired
	0009		A7	Speech impaired
	0009		A8	Non-English speaking
	0009		A9	Functional level unknown
	0009		B1	Oxygen therapy
	0009		B2	Special equipment (tubes, IVs, catheters)
	0009		B3	Amputee
	0009		B4	Mastectomy
	0009		B5	Paraplegic
	0009		B6	Pregnant
User		Transaction Type		
	0017		AJ	Adjustment
	0017		CD	Credit
	0017		CG	Charge
	0017		CO	Co-payment
	0017		PY	Payment
User		Admit Source		
	0023		1	Physician referral
	0023		2	Clinic referral
	0023		3	HMO referral
	0023		4	Transfer from a hospital
	0023		5	Transfer from a skilled nursing facility
	0023		6	Transfer from another health care facility
	0023		7	Emergency room
	0023		8	Court/law enforcement
	0023		9	Information not available
HL7		Priority		
	0027		A	As soon as possible (a priority lower than stat)
	0027		P	Preoperative (to be done prior to surgery)
	0027		R	Routine
	0027		S	Stat (do immediately)
	0027		T	Timing critical (do as near as possible to requested time)
HL7		Order status		
	0038		A	Some, but not all, results available
	0038		CA	Order was canceled
	0038		CM	Order is completed
	0038		DC	Order was discontinued
	0038		ER	Error, order not found
	0038		HD	Order is on hold
	0038		IP	In process, unspecified
	0038		RP	Order has been replaced
	0038		SC	In process, scheduled
HL7		What subject filter		
	0048		ADV	Advice/diagnosis
	0048		ANU	Nursing unit lookup (returns patients in beds, excluding empty beds)
	0048		APA	Account number query, return matching visit
	0048		APM	Medical record number query, returns visits for a medical record number
	0048		APN	Patient name lookup
	0048		APP	Physician lookup
	0048		ARN	Nursing unit lookup (returns patients in beds, including empty beds)
	0048		CAN	Cancel.  Used to cancel a query
	0048		DEM	Demographics
	0048		FIN	Financial
	0048		GID	Generate new identifier
	0048		GOL	Goals
	0048		MRI	Most recent inpatient
	0048		MRO	Most recent outpatient
	0048		NCK	Network clock
	0048		NSC	Network status change
	0048		NST	Network statistic
	0048		ORD	Order
	0048		OTH	Other
	0048		PRB	Problems
	0048		PRO	Procedure
	0048		RAR	Pharmacy administration information
	0048		RDR	Pharmacy dispense information
	0048		RER	Pharmacy encoded order information
	0048		RES	Result
	0048		RGR	Pharmacy give information
	0048		ROR	Pharmacy prescription information
	0048		SAL	All schedule related information, including open slots, booked slots, blocked slots
	0048		SBK	Booked slots on the identified schedule
	0048		SBL	Blocked slots on the identified schedule
	0048		SOF	First open slot on the identified schedule after the start date/tiem
	0048		SOP	Open slots on the identified schedule between the begin and end of the start date/time range
	0048		SSA	Time slots available for a single appointment
	0048		SSR	Time slots available for a recurring appointment
	0048		STA	Status
	0048		VXI	Vaccine Information
	0048		XID	Get cross-referenced identifiers
User		Diagnosis Type		
	0052		A	Admitting
	0052		F	Final
	0052		W	Working
HL7		Check digit scheme		
	0061		ISO	ISO 7064: 1983
	0061		M10	Mod 10 algorithm
	0061		M11	Mod 11 algorithm
	0061		NPI	Check digit algorithm in the US National Provider Identifier
User		Event reason		
	0062		01	Patient request
	0062		02	Physician/health practitioner order
	0062		03	Census management
	0062		O	Other
	0062		U	Unknown
User		Relationship		
	0063		ASC	Associate
	0063		BRO	Brother
	0063		CGV	Care giver
	0063		CHD	Child
	0063		DEP	Handicapped dependent
	0063		DOM	Life partner
	0063		EMC	Emergency contact
	0063		EME	Employee
	0063		EMR	Employer
	0063		EXF	Extended family
	0063		FCH	Foster child
	0063		FND	Friend
	0063		FTH	Father
	0063		GCH	Grandchild
	0063		GRD	Guardian
	0063		GRP	Grandparent
	0063		MGR	Manager
	0063		MTH	Mother
	0063		NCH	Natural child
	0063		NON	None
	0063		OAD	Other adult
	0063		OTH	Other
	0063		OWN	Owner
	0063		PAR	Parent
	0063		SCH	Stepchild
	0063		SEL	Self
	0063		SIB	Sibling
	0063		SIS	Sister
	0063		SPO	Spouse
	0063		TRA	Trainer
	0063		UNK	Unknown
	0063		WRD	Ward of court
HL7		Specimen Action Code		
	0065		A	Add ordered tests to the existing specimen
	0065		G	Generated order; reflex order
	0065		L	Lab to obtain specimen from patient
	0065		O	Specimen obtained by service other than Lab
	0065		P	Pending specimen; Order sent prior to delivery
	0065		R	Revised order
	0065		S	Schedule the tests specified below
User		Employment Status		
	0066		1	Full time employed
	0066		2	Part time employed
	0066		3	Unemployed
	0066		4	Self-employed,
	0066		5	Retired
	0066		6	On active military duty
	0066		9	Unknown
	0066		C	Contract, per diem
	0066		L	Leave of absence (e.g. Family leave, sabbatical, etc.)
	0066		O	Other
	0066		T	Temporarily unemployed
User		Hospital Service		
	0069		CAR	Cardiac Service
	0069		MED	Medical Service
	0069		PUL	Pulmonary Service
	0069		SUR	Surgical Service
	0069		URO	Urology Service
HL7		Specimen Source Codes		
	0070		ABS	Abscess
	0070		ACNE	Tissue, Acne
	0070		ACNFLD	Fluid, Acne
	0070		AIRS	Air Sample
	0070		ALL	Allograft
	0070		AMN	Amniotic fluid
	0070		AMP	Amputation
	0070		ANGI	Catheter Tip, Angio
	0070		ARTC	Catheter Tip, Arterial
	0070		ASERU	Serum, Acute
	0070		ASP	Aspirate
	0070		ATTE	Environmental, Autoclave Ampule
	0070		AUTOC	Environment, Attest
	0070		AUTP	Autopsy
	0070		BBL	Blood bag
	0070		BCYST	Cyst, Baker's
	0070		BDY	Whole body
	0070		BIFL	Bile fluid
	0070		BITE	Bite
	0070		BLD	Whole blood
	0070		BLDA	Blood  arterial
	0070		BLDC	Blood  capillary
	0070		BLDCO	Cord blood
	0070		BLDV	Blood  venous
	0070		BLEB	Bleb
	0070		BLIST	Blister
	0070		BOIL	Boil
	0070		BON	Bone
	0070		BOWL	Bowel contents
	0070		BPH	Basophils
	0070		BPU	Blood product unit
	0070		BRN	Burn
	0070		BRO	Bronchial
	0070		BRSH	Brush
	0070		BRTH	Breath (use EXHLD)
	0070		BRUS	Brushing
	0070		BUB	Bubo
	0070		BULLA	Bulla/Bullae
	0070		BX	Biopsy
	0070		CALC	Calculus (=Stone)
	0070		CARBU	Carbuncle
	0070		CAT	Catheter
	0070		CBITE	Bite, Cat
	0070		CDM	Cardiac muscle
	0070		CLIPP	Clippings
	0070		CNJT	Conjunctiva
	0070		CNL	Cannula
	0070		COL	Colostrum
	0070		CONE	Biospy, Cone
	0070		CSCR	Scratch, Cat
	0070		CSERU	Serum, Convalescent
	0070		CSF	Cerebral spinal fluid
	0070		CSITE	Catheter Insertion Site
	0070		CSMY	Fluid,  Cystostomy Tube
	0070		CST	Fluid, Cyst
	0070		CSVR	Blood, Cell Saver
	0070		CTP	Catheter tip
	0070		CUR	Curettage
	0070		CVM	Cervical mucus
	0070		CVPS	Site, CVP
	0070		CVPT	Catheter Tip, CVP
	0070		CVX	Cervix
	0070		CYN	Nodule, Cystic
	0070		CYST	Cyst
	0070		DBITE	Bite, Dog
	0070		DCS	Sputum, Deep Cough
	0070		DEC	Ulcer, Decubitus
	0070		DEION	Environmental, Water  (Deionized)
	0070		DIA	Dialysate
	0070		DIAF	Dialysis fluid
	0070		DISCHG	Discharge
	0070		DIV	Diverticulum
	0070		DOSE	Dose med or substance
	0070		DRN	Drain
	0070		DRNG	Drainage, Tube
	0070		DRNGP	Drainage, Penrose
	0070		DUFL	Duodenal fluid
	0070		EAR	Ear
	0070		EARW	Ear wax (cerumen)
	0070		EBRUSH	Brush, Esophageal
	0070		EEYE	Environmental, Eye Wash
	0070		EFF	Environmental, Effluent
	0070		EFFUS	Effusion
	0070		EFOD	Environmental, Food
	0070		EISO	Environmental, Isolette
	0070		ELT	Electrode
	0070		ENDC	Endocardium
	0070		ENDM	Endometrium
	0070		ENVIR	Environmental, Unidentified Substance
	0070		EOS	Eosinophils
	0070		EOTH	Environmental, Other Substance
	0070		ESOI	Environmental, Soil
	0070		ESOS	Environmental, Solution (Sterile)
	0070		ETA	Aspirate,  Endotrach
	0070		ETTP	Catheter Tip, Endotracheal
	0070		ETTUB	Tube, Endotracheal
	0070		EWHI	Environmental, Whirlpool
	0070		EXG	Exhaled gas (=breath)
	0070		EXS	Shunt, External
	0070		EXUDTE	Exudate
	0070		EYE	Eye
	0070		FAW	Environmental, Water  (Well)
